#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
1,37212,"36.133973, -86.801471","Nashville,ÿTennessee","18,547","6,556.46","#1,154"
2,37201,"36.165550, -86.777679","Nashville,ÿTennessee","1,167","3,602.97","#2,655"
3,37206,"36.180771, -86.730153","Nashville,ÿTennessee","27,751","3,597.99","#2,660"
4,37208,"36.178567, -86.805263","Nashville,ÿTennessee","15,272","3,416.62","#2,807"
5,37219,"36.166457, -86.782946","Nashville,ÿTennessee",830,"3,259.85","#2,964"
6,37211,"36.066734, -86.722609","Nashville,ÿTennessee","64,753","3,030.86","#3,168"
7,37203,"36.149926, -86.789227","Nashville,ÿTennessee","12,781","3,025.69","#3,172"
8,37216,"36.216583, -86.726843","Nashville,ÿTennessee","19,132","2,791.23","#3,443"
9,37210,"36.149265, -86.732957","Nashville,ÿTennessee","16,170","1,747.70","#4,837"
10,37207,"36.238944, -86.779883","Nashville,ÿTennessee","35,744","1,712.06","#4,897"
11,37204,"36.106277, -86.773949","Nashville,ÿTennessee","11,024","1,491.97","#5,270"
12,37217,"36.113155, -86.667020","Nashville,ÿTennessee","28,293","1,488.46","#5,275"
13,37205,"36.103877, -86.869505","Nashville,ÿTennessee","21,861","1,412.27","#5,405"
14,37215,"36.080535, -86.833278","Nashville,ÿTennessee","22,112","1,382.95","#5,463"
15,37214,"36.197795, -86.673345","Nashville,ÿTennessee","26,474","1,260.43","#5,731"
16,37209,"36.150239, -86.966459","Nashville,ÿTennessee","35,081",986.29,"#6,368"
17,37220,"36.068452, -86.793116","Nashville,ÿTennessee","6,163",797.85,"#6,892"
18,37221,"36.063625, -86.977097","Nashville,ÿTennessee","34,809",753.76,"#7,055"
19,37218,"36.209917, -86.889939","Nashville,ÿTennessee","15,079",367.31,"#9,079"
20,37228,"36.196291, -86.803583","Nashville,ÿTennessee",331,274.09,"#9,986"
21,37213,"36.166795, -86.766631","Nashville,ÿTennessee",137,188.67,"#11,277"
,,,,,,
