number,zip,"lat,long",city,pop
1,37916,"35.953657, -83.933148","Knoxville, Tennessee","11,672"
2,37614,"36.301650, -82.370809","Johnson City, Tennessee","2,036"
3,37212,"36.133973, -86.801471","Nashville, Tennessee","18,547"
4,37351,"35.104194, -85.264615","Lupton City, Tennessee",270
5,37744,"36.182885, -82.740218","Greeneville, Tennessee",372
6,38105,"35.150642, -90.033969","Memphis, Tennessee","8,976"
7,38104,"35.132422, -90.004640","Memphis, Tennessee","24,727"
8,38115,"35.053329, -89.862806","Memphis, Tennessee","40,401"
9,38114,"35.096438, -89.985644","Memphis, Tennessee","34,120"
10,38111,"35.110521, -89.943501","Memphis, Tennessee","45,077"
11,38126,"35.126608, -90.042212","Memphis, Tennessee","8,104"
12,38112,"35.147662, -89.976392","Memphis, Tennessee","19,200"
13,38107,"35.170636, -90.022027","Memphis, Tennessee","22,109"
14,37201,"36.165550, -86.777679","Nashville, Tennessee","1,167"
15,37206,"36.180771, -86.730153","Nashville, Tennessee","27,751"
16,38122,"35.158183, -89.921806","Memphis, Tennessee","24,791"
17,37208,"36.178567, -86.805263","Nashville, Tennessee","15,272"
18,37219,"36.166457, -86.782946","Nashville, Tennessee",830
19,37402,"35.046090, -85.314720","Chattanooga, Tennessee","4,302"
20,37211,"36.066734, -86.722609","Nashville, Tennessee","64,753"
21,37203,"36.149926, -86.789227","Nashville, Tennessee","12,781"
22,37915,"35.971478, -83.899274","Knoxville, Tennessee","5,564"
23,38141,"35.016729, -89.858616","Memphis, Tennessee","21,922"
24,38108,"35.176666, -89.967917","Memphis, Tennessee","22,237"
25,37216,"36.216583, -86.726843","Nashville, Tennessee","19,132"
26,38116,"35.032339, -90.008916","Memphis, Tennessee","51,048"
27,37902,"35.963879, -83.919923","Knoxville, Tennessee","1,241"
28,38117,"35.115293, -89.905382","Memphis, Tennessee","25,180"
29,37404,"35.029159, -85.274304","Chattanooga, Tennessee","13,721"
30,37917,"36.001410, -83.911674","Knoxville, Tennessee","24,480"
31,37403,"35.046837, -85.295350","Chattanooga, Tennessee","3,846"
32,38119,"35.078410, -89.844431","Memphis, Tennessee","22,179"
33,37412,"34.997030, -85.228921","Chattanooga, Tennessee","20,574"
34,37411,"35.025867, -85.230184","Chattanooga, Tennessee","17,778"
35,37407,"35.001943, -85.289724","Chattanooga, Tennessee","7,949"
36,38134,"35.174969, -89.859874","Memphis, Tennessee","41,765"
37,38138,"35.088600, -89.804570","Germantown, Tennessee","23,021"
38,37923,"35.927634, -84.080719","Knoxville, Tennessee","25,882"
39,38135,"35.236895, -89.854890","Memphis, Tennessee","24,623"
40,37909,"35.947867, -84.019431","Knoxville, Tennessee","13,130"
41,37665,"36.579763, -82.571771","Kingsport, Tennessee","4,522"
42,37394,"35.538301, -85.860898","Viola, Tennessee",49
43,37912,"36.006879, -83.984421","Knoxville, Tennessee","18,695"
44,38128,"35.226047, -89.925072","Memphis, Tennessee","44,040"
45,37210,"36.149265, -86.732957","Nashville, Tennessee","16,170"
46,37207,"36.238944, -86.779883","Nashville, Tennessee","35,744"
47,37921,"35.978277, -84.001874","Knoxville, Tennessee","26,240"
48,38139,"35.079657, -89.755097","Germantown, Tennessee","14,482"
49,37152,"36.396966, -86.766777","Ridgetop, Tennessee",38
50,37115,"36.254221, -86.699060","Madison, Tennessee","35,192"
51,38018,"35.155860, -89.765331","Cordova, Tennessee","52,710"
52,38118,"35.032631, -89.932532","Memphis, Tennessee","47,188"
53,37410,"35.001899, -85.314220","Chattanooga, Tennessee","4,822"
54,37204,"36.106277, -86.773949","Nashville, Tennessee","11,024"
55,37217,"36.113155, -86.667020","Nashville, Tennessee","28,293"
56,37919,"35.917290, -84.004214","Knoxville, Tennessee","27,609"
57,38120,"35.124974, -89.858293","Memphis, Tennessee","13,693"
58,37205,"36.103877, -86.869505","Nashville, Tennessee","21,861"
59,37215,"36.080535, -86.833278","Nashville, Tennessee","22,112"
60,38133,"35.215207, -89.787809","Memphis, Tennessee","18,937"
61,38125,"35.027321, -89.790249","Memphis, Tennessee","23,829"
62,37409,"35.000173, -85.334570","Chattanooga, Tennessee","2,719"
63,37214,"36.197795, -86.673345","Nashville, Tennessee","26,474"
64,37421,"35.031635, -85.147624","Chattanooga, Tennessee","40,827"
65,38106,"35.104113, -90.090113","Memphis, Tennessee","33,784"
66,37138,"36.241789, -86.619937","Old Hickory, Tennessee","22,160"
67,37013,"36.037730, -86.640276","Antioch, Tennessee","51,343"
68,37406,"35.075375, -85.242970","Chattanooga, Tennessee","14,717"
69,37416,"35.099412, -85.173466","Chattanooga, Tennessee","14,620"
70,37415,"35.127353, -85.282509","Chattanooga, Tennessee","23,112"
71,37076,"36.161849, -86.576611","Hermitage, Tennessee","29,547"
72,37918,"36.056202, -83.916890","Knoxville, Tennessee","36,815"
73,38103,"35.184023, -90.077284","Memphis, Tennessee","7,675"
74,38050,"35.815867, -89.222818","Maury City, Tennessee",388
75,37684,"36.308302, -82.376077","Mountain Home, Tennessee",404
76,37922,"35.888230, -84.068326","Knoxville, Tennessee","45,660"
77,37209,"36.150239, -86.966459","Nashville, Tennessee","35,081"
78,37343,"35.166618, -85.212288","Hixson, Tennessee","37,202"
79,37042,"36.567946, -87.415508","Clarksville, Tennessee","53,956"
80,37408,"35.029019, -85.310872","Chattanooga, Tennessee","1,935"
81,38109,"35.040014, -90.163407","Memphis, Tennessee","52,401"
82,37604,"36.293242, -82.384084","Johnson City, Tennessee","31,569"
83,38127,"35.257534, -90.049395","Memphis, Tennessee","51,145"
84,37130,"35.884923, -86.317204","Murfreesboro, Tennessee","43,564"
85,37220,"36.068452, -86.793116","Nashville, Tennessee","6,163"
86,37664,"36.514170, -82.504747","Kingsport, Tennessee","25,980"
87,37645,"36.562380, -82.663683","Mount Carmel, Tennessee","4,760"
88,37221,"36.063625, -86.977097","Nashville, Tennessee","34,809"
89,37075,"36.346217, -86.605248","Hendersonville, Tennessee","48,773"
90,37601,"36.331933, -82.322687","Johnson City, Tennessee","33,493"
91,37086,"36.021924, -86.558356","La Vergne, Tennessee","18,708"
92,37814,"36.233235, -83.337421","Morristown, Tennessee","30,568"
93,37931,"35.976399, -84.125445","Knoxville, Tennessee","18,203"
94,37027,"36.005063, -86.782005","Brentwood, Tennessee","35,747"
95,37167,"35.957875, -86.536490","Smyrna, Tennessee","35,093"
96,37660,"36.526722, -82.571648","Kingsport, Tennessee","40,915"
97,37804,"35.789271, -83.893628","Maryville, Tennessee","21,966"
98,37701,"35.792740, -83.986067","Alcoa, Tennessee","6,132"
99,37849,"36.054313, -84.046042","Powell, Tennessee","21,609"
100,37663,"36.463754, -82.487995","Kingsport, Tennessee","14,097"
101,37311,"35.104025, -84.920821","Cleveland, Tennessee","24,775"
102,37350,"35.002199, -85.358237","Lookout Mountain, Tennessee","2,109"
103,38036,"35.315491, -89.622040","Gallaway, Tennessee",408
104,37920,"35.908797, -83.869045","Knoxville, Tennessee","37,698"
105,37914,"35.983165, -83.795797","Knoxville, Tennessee","20,120"
106,38058,"35.462729, -89.798722","Munford, Tennessee","4,018"
107,37067,"35.911307, -86.779248","Franklin, Tennessee","15,588"
108,37129,"35.929834, -86.450822","Murfreesboro, Tennessee","38,237"
109,37719,"36.029139, -84.428649","Coalfield, Tennessee",70
110,38157,"35.114207, -89.891661","Memphis, Tennessee",75
111,37615,"36.402411, -82.457202","Johnson City, Tennessee","16,259"
112,37828,"36.197405, -84.068809","Norris, Tennessee","1,386"
113,37938,"36.124222, -83.939377","Knoxville, Tennessee","13,664"
114,37312,"35.232461, -84.879821","Cleveland, Tennessee","28,110"
115,38017,"35.066971, -89.648939","Collierville, Tennessee","35,993"
116,37932,"35.917328, -84.198756","Knoxville, Tennessee","11,136"
117,38501,"36.226045, -85.533285","Cookeville, Tennessee","32,906"
118,37218,"36.209917, -86.889939","Nashville, Tennessee","15,079"
119,37069,"35.990070, -86.918069","Franklin, Tennessee","16,243"
120,37341,"35.210592, -85.072961","Harrison, Tennessee","11,719"
121,37128,"35.767761, -86.447216","Murfreesboro, Tennessee","18,017"
122,37072,"36.352140, -86.746651","Goodlettsville, Tennessee","26,386"
123,37863,"35.786538, -83.561703","Pigeon Forge, Tennessee","5,577"
124,37845,"36.088304, -84.446248","Petros, Tennessee",569
125,37830,"35.971209, -84.283356","Oak Ridge, Tennessee","27,279"
126,37188,"36.479727, -86.680363","White House, Tennessee","10,334"
